ROLE,TABLE,READ,CREATE,UPDATE_EDIT,DELETE_HARD,ARCHIVE,VOID,REVERSE,APPROVE,REJECT,TRANSMIT,EXPORT,ASSIGN,ADMIN
owner,crm_workspaces,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
owner,crm_users,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
owner,crm_clients,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
owner,crm_cases,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
owner,crm_fee_catalog,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
owner,crm_invoices,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
owner,crm_invoice_lines,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
owner,crm_payments,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
owner,crm_payment_plans,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
owner,crm_collections,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
owner,crm_collection_actions,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
owner,crm_recovery_cases,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
owner,crm_practitioner_fees,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
owner,crm_activities,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
owner,crm_documents,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
owner,crm_flow_runs,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
owner,crm_audit_log,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
owner,training_courses,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
owner,training_enrollments,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
owner,training_assignments,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
owner,training_assessments,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
owner,training_results,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
owner,credential_programs,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
owner,credentials,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
owner,credential_events,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
owner,communications,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
owner,appointments,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
owner,tasks,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
owner,consents,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
owner,disputes,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
owner,refund_events,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
admin,crm_workspaces,Y,Y,Y,N,N,N,N,N,N,N,N,Y,Y
admin,crm_users,Y,Y,Y,N,N,N,N,N,N,N,N,Y,Y
admin,crm_clients,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,Y
admin,crm_cases,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,Y
admin,crm_fee_catalog,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,Y
admin,crm_invoices,Y,Y,Y,N,Y,Y,N,Y,N,N,N,Y,N
admin,crm_invoice_lines,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,N
admin,crm_payments,Y,Y,Y,N,N,Y,Y,Y,N,N,N,Y,N
admin,crm_payment_plans,Y,Y,Y,N,Y,N,N,Y,N,N,N,Y,N
admin,crm_collections,Y,Y,Y,N,Y,N,N,Y,N,N,N,Y,N
admin,crm_collection_actions,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,N
admin,crm_recovery_cases,Y,Y,Y,N,Y,N,N,Y,N,N,N,Y,N
admin,crm_practitioner_fees,Y,Y,Y,N,N,Y,Y,Y,N,N,N,Y,N
admin,crm_activities,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,N
admin,crm_documents,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,N
admin,crm_flow_runs,Y,Y,Y,N,Y,N,N,Y,N,N,N,Y,N
admin,crm_audit_log,Y,Y,Y,N,N,N,N,N,N,N,N,N,N
admin,training_courses,Y,Y,Y,N,Y,N,N,Y,N,N,Y,Y,Y
admin,training_enrollments,Y,Y,Y,N,Y,N,N,Y,N,N,Y,Y,N
admin,training_assignments,Y,Y,Y,N,Y,N,N,N,N,N,Y,Y,N
admin,training_assessments,Y,Y,Y,N,Y,N,N,Y,N,N,Y,Y,N
admin,training_results,Y,Y,Y,N,N,N,N,Y,N,N,Y,Y,N
admin,credential_programs,Y,Y,Y,N,Y,N,N,Y,N,N,Y,Y,Y
